OrderDetailID,OrderID,ProductID,Quantity,UnitPrice,Discount,OrderDetailStatusID,AddedBy,AddedOn,ModifiedBy,ModifiedOn
39,15,24,12,2.9900,0.0,2,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
40,15,41,35,2.0000,0.0,2,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
41,15,22,22,4.0000,0.0,2,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
42,16,20,39,39.0000,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
43,16,26,43,7.0000,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
44,16,1,14,10.0000,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
45,16,4,9,12.4900,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
46,17,1,29,10.0000,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
47,18,36,8,10.0000,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
48,18,9,36,1.9500,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
49,18,20,21,39.0000,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
50,19,40,29,17.0000,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
51,19,4,39,12.4900,0.0,4,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
52,19,18,26,30.0000,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
53,20,15,9,18.4000,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
54,21,40,9,17.0000,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
55,22,38,39,10.0000,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
56,22,12,35,9.6500,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
57,23,2,19,14.0000,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
58,24,11,27,9.2000,0.0,4,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
59,24,2,27,14.0000,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
60,25,26,39,7.0000,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
61,25,40,20,17.0000,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
62,25,24,8,2.9900,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
63,25,28,23,13.0000,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
64,26,40,33,17.0000,0.0,4,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
65,27,21,15,38.0000,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
66,28,2,20,14.0000,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
67,29,24,23,2.9900,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
68,29,37,43,4.0000,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
69,29,29,38,21.3500,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
70,29,43,20,23.2500,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
71,30,30,13,1.5000,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
72,30,19,29,3.5000,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
73,31,19,28,3.5000,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
74,31,10,33,12.7500,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
75,31,22,36,4.0000,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
76,32,14,18,1.2000,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
77,32,7,29,18.0000,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
78,33,16,45,40.0000,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
79,33,21,13,38.0000,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
80,33,30,39,1.5000,0.0,4,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
81,34,7,42,18.0000,0.0,4,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
82,34,9,49,1.9500,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
83,34,3,7,25.0000,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
84,34,35,22,19.5000,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
85,35,5,12,22.0000,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
86,36,23,30,1.2000,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
87,36,10,26,12.7500,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
88,36,33,39,1.8000,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
89,37,33,9,1.8000,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
90,37,28,37,13.0000,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
91,37,1,24,10.0000,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
92,37,18,17,30.0000,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
93,38,30,24,1.5000,0.0,4,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
94,38,32,17,1.5000,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
95,38,16,24,40.0000,0.0,4,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
96,38,41,10,2.0000,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
97,39,5,13,22.0000,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
98,39,4,24,12.4900,0.0,4,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
99,40,22,49,4.0000,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
100,40,10,22,12.7500,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
101,40,18,17,30.0000,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
102,41,23,49,1.2000,0.0,4,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
103,42,29,25,21.3500,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
104,42,30,7,1.5000,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
105,42,33,37,1.8000,0.0,4,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
106,42,22,12,4.0000,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
107,43,34,7,1.8000,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
108,43,23,23,1.2000,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
109,44,42,41,1.8900,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
110,44,30,46,1.5000,0.0,4,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
111,45,6,48,15.9900,0.0,4,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
112,45,35,37,19.5000,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
113,46,8,12,2.0000,0.05000000074505806,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
114,47,5,17,22.0000,0.0,4,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
115,47,28,44,13.0000,0.0,4,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
116,48,39,22,4.0000,0.10000000149011612,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
117,49,10,25,12.7500,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
118,49,11,45,9.2000,0.0,4,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
119,49,27,22,34.8000,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
120,49,17,44,53.0000,0.0,4,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
121,50,23,19,1.2000,0.05999999865889549,4,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
122,50,38,16,10.0000,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
123,50,12,13,9.6500,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
124,50,15,5,18.4000,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
126,53,4,1,12.4900,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
127,53,2,2,14.0000,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
130,53,15,3,18.4000,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
132,56,25,18,21.0500,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
133,56,13,40,46.0000,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
134,56,1,39,10.0000,0.0,1,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
