StringID,StringData,AddedBy,AddedOn,ModifiedBy,ModifiedOn
42,The form {0} is already open. Please close the form before opening a new {0}.,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
43,Tour the Gastronomic World with Northwind Traders!,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
44,"When Northwind Traders buyers set out to search for the Wonders of the Gastronomic World they found a lot more than seven of them. And here they are--tastefully presented in our Fall Catalog.

The beverages and confections we're featuring this fall are sure to please even the most discerning palates.

For thirst quenchers, try exotic chai, a hearty beer, or revitalizing coffee.

And for a taste of something sweet, try our brownie and cake mixes, or our rich, dark chocolate.

Our sales representatives are ready to take your orders now. For your convenience, we've included details on ordering on the last page of this catalog.",Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
45,Commitment to Quality,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
46,"Northwind Traders is committed to bringing you products of the highest quality from all over the world. If at any time you are not completely satisfied with any of our products, you may return them to us for a full refund.",Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
47,"How to order:
To place your order, fill out this order form and return it to us. For fast personal service,
call us at 1-206-555-1417. If you prefer to order by fax, prepare your order as you would
for a mail-in, and then fax us at 1-206-555-5938.",Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
48,You have changed the data and not saved it.  Do you want to save it now? Selecting No will undo your changes.,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
49,Only orders with status of Shipped can be paid.,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
50,Only orders with status of New can be invoiced.,Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
51,"Please first complete the Order at the top of this form, before entering Order Line Items.",Admin,2024-09-21T00:00:00,tvans,2025-09-16T15:47:31
